,R2,MAE,RMSE,MAPE,feature_set
naive,-2.4599316932811233,0.008690300629714178,0.01030640107507985,78.52453895475806,full
rolling,-1.12659480415993,0.00599958572188249,0.008080079816532484,48.35760453416838,full
premarket,0.2799946230180891,0.0034423985405321747,0.004701550946026478,39.451245897250374,full
ewma,-2.3618425138442594,0.008451002146128478,0.010159257286226861,75.73235047911042,full
har_rv,0.1795535242323455,0.0034197808386993286,0.005018782829965578,39.05723004218607,full
garch,-0.8503371664662576,0.005376891794803267,0.0075370034273429,42.91032212610764,full
egarch,-0.7682647221174363,0.00518717436070802,0.007367954205705399,41.448670260027484,full
lasso,0.3374254227668474,0.0034598057516801836,0.0045101466213281205,42.4611381588414,full
ridge,0.03365923029070417,0.003744743836392796,0.005446762364722333,42.96213785237335,full
rf,0.13947160018651894,0.004112010116580777,0.005139914331323737,53.80388052194587,full
lgbm,0.31952236754510344,0.003413668042957245,0.004570673548907574,40.3027037504265,full
xgb,0.2322794479611966,0.0037043389814982084,0.004854839313075614,45.560260484461104,full
naive,-2.4599316932811233,0.008690300629714178,0.01030640107507985,78.52453895475806,selected
rolling,-1.12659480415993,0.00599958572188249,0.008080079816532484,48.35760453416838,selected
ewma,-2.3618425138442594,0.008451002146128478,0.010159257286226861,75.73235047911042,selected
har_rv,-0.07121410090973201,0.003908675673022551,0.00573470942170318,45.79678372336533,selected
garch,-0.8503371664662576,0.005376891794803267,0.0075370034273429,42.91032212610764,selected
egarch,-0.7664764229714398,0.0051891150045526,0.0073642275467152565,41.45819838647976,selected
lasso,0.3375419650420387,0.0034595118698207434,0.004509749952121257,42.4551260640127,selected
ridge,0.3013216124967405,0.003466266096846828,0.00463139616015111,42.08438884232423,selected
rf,0.2580224929446415,0.0036212179987163465,0.004772749563208741,44.36173547521322,selected
lgbm,0.23784950176124053,0.0037077358945111984,0.004837195559842013,45.067178560431536,selected
xgb,0.18087373497935477,0.0038168531520675546,0.005014743249781518,46.34150532735707,selected
